areaCode,areaName,areaType,date,newCasesByPublishDate
E09000033,Westminster,utla,2021-06-23,48
E10000034,Worcestershire,utla,2021-06-23,66
S12000013,Na h-Eileanan Siar,utla,2021-06-23,0
S12000029,South Lanarkshire,utla,2021-06-23,179
S12000045,East Dunbartonshire,utla,2021-06-23,45
W06000023,Powys,utla,2021-06-23,6
E06000003,Redcar and Cleveland,utla,2021-06-22,19
E06000014,York,utla,2021-06-22,59
E06000050,Cheshire West and Chester,utla,2021-06-22,103
E08000001,Bolton,utla,2021-06-22,118
E08000016,Barnsley,utla,2021-06-22,48
E08000031,Wolverhampton,utla,2021-06-22,39
E08000032,Bradford,utla,2021-06-22,110
E09000018,Hounslow,utla,2021-06-22,23
E09000032,Wandsworth,utla,2021-06-22,36
E09000033,Westminster,utla,2021-06-22,38
E10000034,Worcestershire,utla,2021-06-22,57
S12000013,Na h-Eileanan Siar,utla,2021-06-22,0
S12000029,South Lanarkshire,utla,2021-06-22,142
S12000045,East Dunbartonshire,utla,2021-06-22,55
W06000023,Powys,utla,2021-06-22,4
E06000003,Redcar and Cleveland,utla,2021-06-21,26
E06000014,York,utla,2021-06-21,55
E06000050,Cheshire West and Chester,utla,2021-06-21,83
E08000001,Bolton,utla,2021-06-21,79
E08000016,Barnsley,utla,2021-06-21,43
E08000031,Wolverhampton,utla,2021-06-21,29
E08000032,Bradford,utla,2021-06-21,95
E09000018,Hounslow,utla,2021-06-21,22
E09000032,Wandsworth,utla,2021-06-21,45
E09000033,Westminster,utla,2021-06-21,35
E10000034,Worcestershire,utla,2021-06-21,38
S12000013,Na h-Eileanan Siar,utla,2021-06-21,0
S12000029,South Lanarkshire,utla,2021-06-21,83
S12000045,East Dunbartonshire,utla,2021-06-21,27
W06000023,Powys,utla,2021-06-21,11
E06000003,Redcar and Cleveland,utla,2021-06-20,6
E06000014,York,utla,2021-06-20,47
E06000050,Cheshire West and Chester,utla,2021-06-20,63
E08000001,Bolton,utla,2021-06-20,76
E08000016,Barnsley,utla,2021-06-20,30
E08000031,Wolverhampton,utla,2021-06-20,16
E08000032,Bradford,utla,2021-06-20,140
E09000018,Hounslow,utla,2021-06-20,27
E09000032,Wandsworth,utla,2021-06-20,56
E09000033,Westminster,utla,2021-06-20,32
E10000034,Worcestershire,utla,2021-06-20,37
S12000013,Na h-Eileanan Siar,utla,2021-06-20,0
S12000029,South Lanarkshire,utla,2021-06-20,55
S12000045,East Dunbartonshire,utla,2021-06-20,48
W06000023,Powys,utla,2021-06-20,2
E06000003,Redcar and Cleveland,utla,2021-06-19,11
E06000014,York,utla,2021-06-19,51
E06000050,Cheshire West and Chester,utla,2021-06-19,82
E08000001,Bolton,utla,2021-06-19,94
E08000016,Barnsley,utla,2021-06-19,36
E08000031,Wolverhampton,utla,2021-06-19,20
E08000032,Bradford,utla,2021-06-19,121
E09000018,Hounslow,utla,2021-06-19,39
E09000032,Wandsworth,utla,2021-06-19,70
E09000033,Westminster,utla,2021-06-19,41
E10000034,Worcestershire,utla,2021-06-19,38
S12000013,Na h-Eileanan Siar,utla,2021-06-19,1
S12000029,South Lanarkshire,utla,2021-06-19,41
S12000045,East Dunbartonshire,utla,2021-06-19,33
W06000023,Powys,utla,2021-06-19,0
E06000003,Redcar and Cleveland,utla,2021-06-18,12
E06000014,York,utla,2021-06-18,39
E06000050,Cheshire West and Chester,utla,2021-06-18,86
E08000001,Bolton,utla,2021-06-18,125
E08000016,Barnsley,utla,2021-06-18,24
E08000031,Wolverhampton,utla,2021-06-18,16
E08000032,Bradford,utla,2021-06-18,141
E09000018,Hounslow,utla,2021-06-18,40
E09000032,Wandsworth,utla,2021-06-18,71
E09000033,Westminster,utla,2021-06-18,48
E10000034,Worcestershire,utla,2021-06-18,35
S12000013,Na h-Eileanan Siar,utla,2021-06-18,0
S12000029,South Lanarkshire,utla,2021-06-18,76
S12000045,East Dunbartonshire,utla,2021-06-18,15
W06000023,Powys,utla,2021-06-18,11
E06000003,Redcar and Cleveland,utla,2021-06-17,13
E06000014,York,utla,2021-06-17,41
E06000050,Cheshire West and Chester,utla,2021-06-17,89
E08000001,Bolton,utla,2021-06-17,121
E08000016,Barnsley,utla,2021-06-17,22
E08000031,Wolverhampton,utla,2021-06-17,16
E08000032,Bradford,utla,2021-06-17,101
E09000018,Hounslow,utla,2021-06-17,42
E09000032,Wandsworth,utla,2021-06-17,72
E09000033,Westminster,utla,2021-06-17,40
E10000034,Worcestershire,utla,2021-06-17,38
S12000013,Na h-Eileanan Siar,utla,2021-06-17,0
S12000029,South Lanarkshire,utla,2021-06-17,62
S12000045,East Dunbartonshire,utla,2021-06-17,35
W06000023,Powys,utla,2021-06-17,0
E06000003,Redcar and Cleveland,utla,2021-06-16,7
E06000014,York,utla,2021-06-16,26
E06000050,Cheshire West and Chester,utla,2021-06-16,87
E08000001,Bolton,utla,2021-06-16,88
E08000016,Barnsley,utla,2021-06-16,21
E08000031,Wolverhampton,utla,2021-06-16,16
E08000032,Bradford,utla,2021-06-16,108
E09000018,Hounslow,utla,2021-06-16,31
E09000032,Wandsworth,utla,2021-06-16,66
E09000033,Westminster,utla,2021-06-16,37
E10000034,Worcestershire,utla,2021-06-16,33
S12000013,Na h-Eileanan Siar,utla,2021-06-16,0
S12000029,South Lanarkshire,utla,2021-06-16,54
S12000045,East Dunbartonshire,utla,2021-06-16,32
W06000023,Powys,utla,2021-06-16,3
E06000003,Redcar and Cleveland,utla,2021-06-15,12
E06000014,York,utla,2021-06-15,21
E06000050,Cheshire West and Chester,utla,2021-06-15,61
E08000001,Bolton,utla,2021-06-15,103
E08000016,Barnsley,utla,2021-06-15,28
E08000031,Wolverhampton,utla,2021-06-15,23
E08000032,Bradford,utla,2021-06-15,89
E09000018,Hounslow,utla,2021-06-15,19
E09000032,Wandsworth,utla,2021-06-15,39
E09000033,Westminster,utla,2021-06-15,35
