areaCode,areaName,areaType,date,newOnsDeathsByRegistrationDate
E08000001,Bolton,utla,2021-04-02,2
E08000016,Barnsley,utla,2021-04-02,3
E08000031,Wolverhampton,utla,2021-04-02,4
E08000032,Bradford,utla,2021-04-02,2
E09000018,Hounslow,utla,2021-04-02,0
E09000032,Wandsworth,utla,2021-04-02,0
E09000033,Westminster,utla,2021-04-02,1
E10000034,Worcestershire,utla,2021-04-02,3
W06000023,Powys,utla,2021-04-02,1
E06000003,Redcar and Cleveland,utla,2021-03-26,2
E06000014,York,utla,2021-03-26,1
E06000050,Cheshire West and Chester,utla,2021-03-26,5
E08000001,Bolton,utla,2021-03-26,8
E08000016,Barnsley,utla,2021-03-26,6
E08000031,Wolverhampton,utla,2021-03-26,1
E08000032,Bradford,utla,2021-03-26,7
E09000018,Hounslow,utla,2021-03-26,3
E09000032,Wandsworth,utla,2021-03-26,1
E09000033,Westminster,utla,2021-03-26,2
E10000034,Worcestershire,utla,2021-03-26,9
W06000023,Powys,utla,2021-03-26,3
E06000003,Redcar and Cleveland,utla,2021-03-19,2
E06000014,York,utla,2021-03-19,2
E06000050,Cheshire West and Chester,utla,2021-03-19,3
E08000001,Bolton,utla,2021-03-19,3
E08000016,Barnsley,utla,2021-03-19,10
E08000031,Wolverhampton,utla,2021-03-19,4
E08000032,Bradford,utla,2021-03-19,13
E09000018,Hounslow,utla,2021-03-19,5
E09000032,Wandsworth,utla,2021-03-19,5
E09000033,Westminster,utla,2021-03-19,3
E10000034,Worcestershire,utla,2021-03-19,7
W06000023,Powys,utla,2021-03-19,9
E06000003,Redcar and Cleveland,utla,2021-03-12,2
E06000014,York,utla,2021-03-12,5
E06000050,Cheshire West and Chester,utla,2021-03-12,11
E08000001,Bolton,utla,2021-03-12,8
E08000016,Barnsley,utla,2021-03-12,9
E08000031,Wolverhampton,utla,2021-03-12,11
E08000032,Bradford,utla,2021-03-12,9
E09000018,Hounslow,utla,2021-03-12,5
E09000032,Wandsworth,utla,2021-03-12,4
E09000033,Westminster,utla,2021-03-12,3
E10000034,Worcestershire,utla,2021-03-12,15
W06000023,Powys,utla,2021-03-12,5
E06000003,Redcar and Cleveland,utla,2021-03-05,2
E06000014,York,utla,2021-03-05,6
E06000050,Cheshire West and Chester,utla,2021-03-05,10
E08000001,Bolton,utla,2021-03-05,12
E08000016,Barnsley,utla,2021-03-05,19
E08000031,Wolverhampton,utla,2021-03-05,17
E08000032,Bradford,utla,2021-03-05,18
E09000018,Hounslow,utla,2021-03-05,15
E09000032,Wandsworth,utla,2021-03-05,2
E09000033,Westminster,utla,2021-03-05,7
E10000034,Worcestershire,utla,2021-03-05,25
W06000023,Powys,utla,2021-03-05,6
E06000003,Redcar and Cleveland,utla,2021-02-26,3
E06000014,York,utla,2021-02-26,7
E06000050,Cheshire West and Chester,utla,2021-02-26,23
E08000001,Bolton,utla,2021-02-26,17
E08000016,Barnsley,utla,2021-02-26,35
E08000031,Wolverhampton,utla,2021-02-26,26
E08000032,Bradford,utla,2021-02-26,14
E09000018,Hounslow,utla,2021-02-26,14
E09000032,Wandsworth,utla,2021-02-26,10
E09000033,Westminster,utla,2021-02-26,11
E10000034,Worcestershire,utla,2021-02-26,31
W06000023,Powys,utla,2021-02-26,7
E06000003,Redcar and Cleveland,utla,2021-02-19,13
E06000014,York,utla,2021-02-19,20
E06000050,Cheshire West and Chester,utla,2021-02-19,35
E08000001,Bolton,utla,2021-02-19,22
E08000016,Barnsley,utla,2021-02-19,13
E08000031,Wolverhampton,utla,2021-02-19,32
E08000032,Bradford,utla,2021-02-19,28
E09000018,Hounslow,utla,2021-02-19,17
E09000032,Wandsworth,utla,2021-02-19,16
E09000033,Westminster,utla,2021-02-19,11
E10000034,Worcestershire,utla,2021-02-19,33
W06000023,Powys,utla,2021-02-19,10
E06000003,Redcar and Cleveland,utla,2021-02-12,11
E06000014,York,utla,2021-02-12,14
E06000050,Cheshire West and Chester,utla,2021-02-12,45
E08000001,Bolton,utla,2021-02-12,16
E08000016,Barnsley,utla,2021-02-12,32
E08000031,Wolverhampton,utla,2021-02-12,44
E08000032,Bradford,utla,2021-02-12,40
E09000018,Hounslow,utla,2021-02-12,32
E09000032,Wandsworth,utla,2021-02-12,32
E09000033,Westminster,utla,2021-02-12,9
E10000034,Worcestershire,utla,2021-02-12,54
W06000023,Powys,utla,2021-02-12,7
E06000003,Redcar and Cleveland,utla,2021-02-05,26
E06000014,York,utla,2021-02-05,18
E06000050,Cheshire West and Chester,utla,2021-02-05,52
E08000001,Bolton,utla,2021-02-05,25
E08000016,Barnsley,utla,2021-02-05,11
E08000031,Wolverhampton,utla,2021-02-05,42
E08000032,Bradford,utla,2021-02-05,32
E09000018,Hounslow,utla,2021-02-05,45
E09000032,Wandsworth,utla,2021-02-05,25
E09000033,Westminster,utla,2021-02-05,21
E10000034,Worcestershire,utla,2021-02-05,89
W06000023,Powys,utla,2021-02-05,17
E06000003,Redcar and Cleveland,utla,2021-01-29,20
E06000014,York,utla,2021-01-29,29
E06000050,Cheshire West and Chester,utla,2021-01-29,55
E08000001,Bolton,utla,2021-01-29,32
E08000016,Barnsley,utla,2021-01-29,30
E08000031,Wolverhampton,utla,2021-01-29,66
E08000032,Bradford,utla,2021-01-29,49
E09000018,Hounslow,utla,2021-01-29,61
E09000032,Wandsworth,utla,2021-01-29,40
E09000033,Westminster,utla,2021-01-29,26
E10000034,Worcestershire,utla,2021-01-29,78
W06000023,Powys,utla,2021-01-29,13
E06000003,Redcar and Cleveland,utla,2021-01-22,14
E06000014,York,utla,2021-01-22,32
E06000050,Cheshire West and Chester,utla,2021-01-22,44
E08000001,Bolton,utla,2021-01-22,22
E08000016,Barnsley,utla,2021-01-22,15
E08000031,Wolverhampton,utla,2021-01-22,68
E08000032,Bradford,utla,2021-01-22,41
E09000018,Hounslow,utla,2021-01-22,59
E09000032,Wandsworth,utla,2021-01-22,35
E09000033,Westminster,utla,2021-01-22,35
E10000034,Worcestershire,utla,2021-01-22,108
W06000023,Powys,utla,2021-01-22,16
E06000003,Redcar and Cleveland,utla,2021-01-15,3
E06000014,York,utla,2021-01-15,16
E06000050,Cheshire West and Chester,utla,2021-01-15,40
E08000001,Bolton,utla,2021-01-15,25
E08000016,Barnsley,utla,2021-01-15,28
E08000031,Wolverhampton,utla,2021-01-15,49
E08000032,Bradford,utla,2021-01-15,30
E09000018,Hounslow,utla,2021-01-15,32
E09000032,Wandsworth,utla,2021-01-15,32
E09000033,Westminster,utla,2021-01-15,23
E10000034,Worcestershire,utla,2021-01-15,75
W06000023,Powys,utla,2021-01-15,13
E06000003,Redcar and Cleveland,utla,2021-01-08,1
E06000014,York,utla,2021-01-08,9
E06000050,Cheshire West and Chester,utla,2021-01-08,38
E08000001,Bolton,utla,2021-01-08,21
E08000016,Barnsley,utla,2021-01-08,35
E08000031,Wolverhampton,utla,2021-01-08,12
E08000032,Bradford,utla,2021-01-08,30
E09000018,Hounslow,utla,2021-01-08,28
E09000032,Wandsworth,utla,2021-01-08,27
E09000033,Westminster,utla,2021-01-08,12
E10000034,Worcestershire,utla,2021-01-08,63
W06000023,Powys,utla,2021-01-08,6
E06000003,Redcar and Cleveland,utla,2021-01-01,4
E06000014,York,utla,2021-01-01,9
E06000050,Cheshire West and Chester,utla,2021-01-01,28
