la_code,la_name,imd_average,imd_rank,pop_2020,covid_deaths,covid_cases,cases_per_pop,deaths_per_pop
E09000017,Hillingdon,15515.03,151,309014,373,12168,3937.6856711993632,120.70650520688383
E09000018,Hounslow,18652.53,95,271767,298,10510,3867.283371417427,109.65275401354837
E09000019,Islington,22490.24,28,248115,169,7678,3094.532777139633,68.11357636579812
E09000020,Kensington and Chelsea,17177.54,122,156864,145,4429,2823.464912280702,92.43676050591596
E09000021,Kingston upon Thames,9412.29,270,179142,175,6474,3613.8928894396627,97.68786772504494
E09000022,Lambeth,21351.38,42,321813,309,11076,3441.750333268078,96.01849521305851
E09000023,Lewisham,21959.25,35,305309,319,9730,3186.935203351359,104.48430933906305
E09000024,Merton,12224.63,214,206453,250,7736,3747.0998241730563,121.0929364068335
E09000025,Newham,24138.7,12,355266,401,16942,4768.821108690389,112.87317108870536
E09000026,Redbridge,15082.62,160,305658,466,17832,5833.97130125827,152.45797590771386
E09000027,Richmond upon Thames,7159.19,297,198141,185,5951,3003.4167587727934,93.36785420483393
E09000028,Southwark,21247.36,43,320017,265,10128,3164.8318683069965,82.80810081964395
E09000029,Sutton,11415.25,227,207707,229,7408,3566.5625135407086,110.25145998931187
E09000030,Tower Hamlets,22507.05,27,331969,248,15434,4649.229295506508,74.70577071955515
E09000031,Waltham Forest,21186.64,45,276940,321,12995,4692.352134036253,115.90958330324257
E09000032,Wandsworth,14312.18,173,329735,252,11021,3342.381002926593,76.42500796093833
E09000033,Westminster,16573.82,134,269848,207,7077,2622.5875307580563,76.70985147193976
